model,track,pass_at_1,pass_at_10,pass_at_100,auc_logk,k50,k90,label_WA,label_TLE,label_RE,label_CE,n_attempts
deepseek-coder-7b-instruct-v1.5,CoT,0.692,0.8704265151319226,0.9333333333333333,3.9230255701116064,1.0,1.5,890,0,34,0,3000
deepseek-coder-7b-instruct-v1.5,baseline,0.6846666666666666,0.8504234507101338,0.9333333333333333,3.8666404133260364,1.0,1.5,894,1,51,0,3000
deepseek-coder-7b-instruct-v1.5,feedback,0.7929999999999999,0.930882219005905,0.9666666666666667,4.22036578180189,1.0,1.0,585,0,36,0,3000
