track,k,term,coef,se_HC3,ci_lo,ci_hi,p_raw,n_obs,w_sum,p_holm
baseline,1,const,0.05930328935662145,0.061152216413272155,-0.060552852388191136,0.17915943110143404,0.33216355926076135,30,29.999999999999996,
baseline,1,z_B,0.09197351989615696,0.08688338781087719,-0.07831479106798866,0.2622618308603026,0.2897884603405857,30,29.999999999999996,0.8693653810217571
baseline,1,z_T,0.1077518316452818,0.05200634803648021,0.005821262526325241,0.20968240076423839,0.03827498473826083,30,29.999999999999996,0.15309993895304333
baseline,1,z_H,0.1549663474332548,0.30258598309010915,-0.438091281650005,0.7480239765165145,0.6085531193031521,30,29.999999999999996,0.9093261510763826
baseline,1,z_WA,-0.24002157779792987,0.3210288276767446,-0.8692265180434646,0.3891833624476049,0.4546630755381913,30,29.999999999999996,0.9093261510763826
baseline,10,const,0.012683957121579666,0.0712380562420594,-0.12694006744149555,0.15230798168465487,0.8586834749154604,30,29.999999999999996,
baseline,10,z_B,-0.0020773374455632376,0.08069200992017102,-0.16023077072924719,0.1560760958381207,0.9794615053973323,30,29.999999999999996,1.0
baseline,10,z_T,-0.004551300008969687,0.04361371531896605,-0.090032611266126,0.0809300112481866,0.9168878007957443,30,29.999999999999996,1.0
baseline,10,z_H,0.44742622132915166,0.5842328108658278,-0.6976490465544719,1.5925014892127751,0.4437741938505231,30,29.999999999999996,1.0
baseline,10,z_WA,-0.4601034175087193,0.5996151595542082,-1.6353275348192053,0.7151206998017667,0.44288462509197946,30,29.999999999999996,1.0
CoT,1,const,0.03943858252354846,0.05149390753640315,-0.06148762167103738,0.1403647867181343,0.44374275405812347,30,29.999999999999996,
CoT,1,z_B,-0.01683101898562319,0.07743307711305679,-0.16859706133932725,0.13493502336808086,0.8279261373913906,30,29.999999999999996,1.0
CoT,1,z_T,0.05086883277325092,0.05370846560597283,-0.05439782547936404,0.15613549102586588,0.34357316796576054,30,29.999999999999996,1.0
CoT,1,z_H,0.06618877175326005,0.4295929985774624,-0.775798033469133,0.908175576975653,0.8775520123288668,30,29.999999999999996,1.0
CoT,1,z_WA,-0.05083702033879978,0.4365634739572098,-0.9064857062606207,0.8048116655830212,0.907297355978233,30,29.999999999999996,1.0
CoT,10,const,-0.007302923926946793,0.06014305194933144,-0.1251811396679579,0.11057529181406434,0.9033537071746796,30,29.999999999999996,
CoT,10,z_B,-0.08569210252232395,0.0805106828497755,-0.24349014127861054,0.07210593623396264,0.28716704108968827,30,29.999999999999996,1.0
CoT,10,z_T,-0.057002188659076414,0.052695952621707266,-0.1602843579286517,0.04627998061049887,0.27937761473157174,30,29.999999999999996,1.0
CoT,10,z_H,0.29193326718025187,0.5349736986719589,-0.7565959148929708,1.3404624492534747,0.5852745882091668,30,29.999999999999996,1.0
CoT,10,z_WA,-0.24159551917805436,0.5453099006767121,-1.310383284917524,0.8271922465614154,0.6577349179957317,30,29.999999999999996,1.0
feedback,1,const,0.0394587637847782,0.04919118737248852,-0.0569541918220608,0.1358717193916172,0.42246557389681993,30,29.999999999999996,
feedback,1,z_B,0.04293242892631814,0.06831523385094508,-0.09096296901696575,0.17682782686960202,0.5297118735412869,30,29.999999999999996,1.0
feedback,1,z_T,0.04833282726091786,0.038698688689553486,-0.027515208819534516,0.12418086334137024,0.21168241676440747,30,29.999999999999996,0.8467296670576299
feedback,1,z_H,0.09128548486907873,0.34027406827398293,-0.5756394338208513,0.7582104035590087,0.7884911334267657,30,29.999999999999996,1.0
feedback,1,z_WA,-0.1122673658981555,0.3753400756983804,-0.8479203962215187,0.6233856644252076,0.7648573445656399,30,29.999999999999996,1.0
feedback,10,const,0.008099497111170209,0.04023750526504137,-0.07076456403605168,0.0869635582583921,0.8404700788231323,30,29.999999999999996,
feedback,10,z_B,0.013554784151732743,0.046945138146799216,-0.07845599586525115,0.10556556416871662,0.772782877636595,30,29.999999999999996,1.0
feedback,10,z_T,-0.020824076234211425,0.025920465540753605,-0.07162725515660003,0.029979102688177175,0.4217530663994554,30,29.999999999999996,1.0
feedback,10,z_H,0.39117245412479806,0.4606290626313083,-0.5116439188650111,1.2939888271146072,0.3957624595691025,30,29.999999999999996,1.0
feedback,10,z_WA,-0.38868761434198235,0.4717997005776361,-1.3133980353909305,0.5360228067069657,0.4100302966871202,30,29.999999999999996,1.0
