problem_id,w
ABC392,1.0
ABC393,0.8235294117647058
ABC394,0.35294117647058826
ABC395,1.5294117647058822
ABC396,1.5294117647058822
ABC397,1.0588235294117647
ABC398,0.5882352941176471
ABC399,0.35294117647058826
ABC400,0.7647058823529411
ABC401,0.6470588235294118
ABC402,0.11764705882352941
ABC403,0.5294117647058824
ABC404,1.0588235294117647
ABC405,1.588235294117647
ABC406,1.7647058823529411
ABC407,1.6470588235294117
ABC408,1.5294117647058822
ABC409,1.411764705882353
ABC410,0.35294117647058826
ABC411,0.11764705882352941
ABC412,0.35294117647058826
ABC413,0.9411764705882353
ABC414,0.8235294117647058
ABC415,0.9411764705882353
ABC416,1.6470588235294117
ABC417,1.1764705882352942
ABC418,1.3529411764705883
ABC419,1.5294117647058822
ABC420,1.5294117647058822
ABC421,0.9411764705882353
