column,count,mean,std,min,q25,median,q75,max
z_B,30,-1.7311383807931216e-15,0.9999999999999998,-2.307309396526112,-0.4423518948865959,0.1209903226466775,0.6857717541905283,1.5450181529047935
z_T,30,2.572016673714946e-16,0.9999999999999999,-1.1099218058382023,-0.60864328424626,-0.4119537183312999,0.1282732285697934,2.714054009170995
z_H,30,1.1472304587793285e-16,1.0,-1.3777658465617155,-0.7312688388910256,-0.1490094675384016,0.6559117649651102,3.260405180881337
z_WA,30,3.6267285471088446e-16,1.0,-1.2961881279745069,-0.6760600156594991,-0.319972378947736,0.5310301417142818,3.4607435840255394
