metric,Q1,Q2,Q3
B_hat,2.156092651122609,2.263634456369983,2.375199683360318
T_hat,0.03697636957390469,0.04289534895751217,0.052073933099430134
H,0.187959,0.2372955,0.308779
WA_human,0.112307,0.141654,0.215598
