column,count,mean,std,min,q25,median,q75,max
AC_rate,30,0.750292,0.0833000761968439,0.4787,0.6956545,0.7627045,0.81120675,0.86506
B_log,30,2.1711676752516693,0.14677648479017075,1.8325089127062364,2.1062408190799435,2.1889262095033772,2.271822842700144,2.397940008672037
B_raw,30,156.36666666666667,47.8354703355389,68.0,127.75,154.5,187.0,250.0
H_diff,30,0.24970799999999999,0.0833000761968439,0.1349399999999999,0.18879325,0.23729549999999994,0.30434550000000005,0.5213
T_log1p,30,0.04202545833145295,0.010402720251921866,0.0304792522838102,0.03569391251222815,0.03774001904291345,0.04335984884407533,0.0702590029374658
T_ratio,30,0.04297778333333333,0.010942798234214238,0.0309485,0.036338625,0.03846125,0.044314125,0.072786
T_raw_sec,30,0.08595556666666666,0.021885596468428477,0.061897,0.07267725,0.0769225,0.08862825,0.145572
WA_prob,30,0.1676132333333333,0.08112960693264547,0.062454,0.11276475,0.141654,0.2106955,0.448382
r_score,30,7.5,4.215052391924289,0.0,4.125,7.25,12.0,14.0
s_B,30,1.5,1.1474609652039003,0.0,0.25,1.5,2.75,3.0
s_H,30,1.5,1.1474609652039003,0.0,0.25,1.5,2.75,3.0
s_T,30,1.5,1.1474609652039003,0.0,0.25,1.5,2.75,3.0
s_WA,30,1.5,1.1474609652039003,0.0,0.25,1.5,2.75,3.0
w_p,30,0.9999999999999999,0.4958885166969751,0.1176470588235294,0.6029411764705883,0.9705882352941175,1.5294117647058822,1.7647058823529411
z_B,30,-1.7311383807931216e-15,0.9999999999999998,-2.307309396526112,-0.4423518948865959,0.1209903226466775,0.6857717541905283,1.5450181529047935
z_H,30,1.1472304587793285e-16,1.0,-1.3777658465617155,-0.7312688388910256,-0.1490094675384016,0.6559117649651102,3.260405180881337
z_T,30,2.572016673714946e-16,0.9999999999999999,-1.1099218058382023,-0.60864328424626,-0.4119537183312999,0.1282732285697934,2.714054009170995
z_WA,30,3.6267285471088446e-16,1.0,-1.2961881279745069,-0.6760600156594991,-0.319972378947736,0.5310301417142818,3.4607435840255394
