model,track,pass_at_1,pass_at_1_ci_lo,pass_at_1_ci_hi,D_pass_at_1,D_pass_at_1_ci_lo,D_pass_at_1_ci_hi,pass_at_10,pass_at_10_ci_lo,pass_at_10_ci_hi,D_pass_at_10,D_pass_at_10_ci_lo,D_pass_at_10_ci_hi,pass_at_100,pass_at_100_ci_lo,pass_at_100_ci_hi,D_pass_at_100,D_pass_at_100_ci_lo,D_pass_at_100_ci_hi,auc_logk,auc_logk_ci_lo,auc_logk_ci_hi,k50,k50_ci_lo,k50_ci_hi,k90,k90_ci_lo,k90_ci_hi,n_problems
Llama-3.1-8B-Instruct,CoT,0.6300000000000001,0.5013166666666666,0.75635,0.6413921568627451,0.5132958554831517,0.7712310117302051,0.8652916539114416,0.7363722371520098,0.9662146465017056,0.906689089657568,0.7966791537274248,0.989418897008411,0.9,0.7991666666666668,1.0,0.9411764705882355,0.8525749003984063,1.0,3.820501342485568,3.288747508736348,4.295304957708923,1.0,1.0,1.0,2.0,1.0,4.0,30.0
Llama-3.1-8B-Instruct,baseline,0.6273333333333332,0.4976416666666667,0.7610416666666666,0.6135882352941177,0.4816959177971327,0.7564397826086957,0.84624213326662,0.7140651305446827,0.963442057867031,0.8639563176333861,0.7335580851876121,0.9672019948279599,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8823529411764707,0.7529354344774785,0.9819502715712103,3.7475113368305064,3.1677066281529656,4.29715189562925,1.0,1.0,1.0,2.0,1.0,3.0,30.0
Llama-3.1-8B-Instruct,feedback,0.7646666666666667,0.6469916666666666,0.8826749999999999,0.7573529411764707,0.6434736399739662,0.8742295529529599,0.9235861793949043,0.8299221952561604,0.9967215787474377,0.9279010948446303,0.8209216896430983,0.9973393879609003,0.9666666666666667,0.9,1.0,0.9647058823529413,0.8833566807063242,1.0,4.168378081387695,3.7641700553048563,4.50174485223263,1.0,1.0,1.0,1.0,1.0,2.0,30.0
deepseek-coder-7b-instruct-v1.5,CoT,0.6920000000000001,0.5679833333333333,0.8056833333333335,0.6924705882352942,0.5597914005474453,0.8104099776567518,0.8704265151319227,0.7459832617405282,0.9657707272670191,0.8896630023394253,0.7694942251455066,0.9762208322643067,0.9333333333333333,0.8333333333333334,1.0,0.9372549019607845,0.8378878309979645,1.0,3.9230255701116055,3.4141991009168966,4.349215804465316,1.0,1.0,1.0,1.5,1.0,2.0,30.0
deepseek-coder-7b-instruct-v1.5,baseline,0.6846666666666666,0.5509583333333333,0.8096916666666667,0.6827843137254901,0.5476894361206722,0.8150200570980741,0.8504234507101338,0.7217220048097991,0.9515933244074865,0.8731949465082997,0.7552407140785838,0.9621634158446076,0.9333333333333333,0.8333333333333334,1.0,0.9372549019607845,0.8378878309979645,1.0,3.866640413326036,3.334428140880799,4.304928817292415,1.0,1.0,1.0,1.5,1.0,2.0,30.0
deepseek-coder-7b-instruct-v1.5,feedback,0.7929999999999998,0.67165,0.8970666666666667,0.8084313725490198,0.6889576585199332,0.9080769182257413,0.930882219005905,0.8497599072552379,0.9921045228936074,0.9388396677024133,0.8505561049166706,0.9936311066700678,0.9666666666666667,0.9,1.0,0.9647058823529413,0.8833566807063242,1.0,4.22036578180189,3.8445888257340366,4.505919598112609,1.0,1.0,1.0,1.0,1.0,2.0,30.0
